0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
505.82822,493.63382,478.56424,468.0849,453.84088,444.35913,430.7929,420.5816,408.5232,395.87552,384.6442,4.0559564,3.4831817,3.1631396,4.1170535,3.786571,3.7453303,4.420899,5.397912,5.1026034,5.124033,6.472077
454.3507,423.86368,392.95877,361.08606,330.1349,297.3225,267.03696,234.9045,205.8762,175.70355,147.26118,3.226856,3.2331076,3.6565585,3.7887485,3.9901242,4.400613,5.308725,6.0012655,6.846204,8.320713,10.694718
543.3151,532.10333,522.1843,511.16205,503.04416,492.71518,483.39313,474.88342,466.18982,457.62155,448.86783,4.5779853,4.3340373,3.8607416,3.7801251,3.8622093,3.6520128,3.3380246,3.1534717,4.843799,4.904402,5.491135
461.17313,446.23834,430.7121,417.9971,401.06464,388.70422,372.43655,359.1399,342.9411,326.5094,313.11917,2.3132448,2.1135974,2.0105734,2.8485649,2.6598952,3.1711242,3.5373878,4.4766417,5.1609898,5.67285,6.675326
502.4762,483.52826,463.17252,444.9082,424.8598,407.28485,387.52182,369.87582,350.47263,332.549,315.5515,4.478698,3.7044926,3.8983107,4.2939973,3.92153,4.121991,4.517335,5.0876884,6.2365127,6.7586017,8.094798
690.80585,679.37006,667.215,655.4091,644.02875,631.4175,620.6608,608.24744,597.90424,584.9737,571.75146,2.686011,2.8830497,2.892478,3.2551966,3.1308112,3.3689551,4.11179,4.630968,3.8534634,4.2974224,4.7642794
538.7636,484.32593,427.54755,370.0308,314.38947,255.42812,200.83363,145.71594,92.89495,42.728374,-7.1770434,6.1944795,6.668884,6.599078,6.4569016,7.1433663,8.038593,9.045006,9.755589,11.643765,14.188464,18.27671
126.753105,93.81181,72.24429,45.24855,37.128082,13.803038,5.4103727,-10.710818,-2.1317189,-29.800455,-38.064953,3.988857,8.058617,7.1995416,12.247677,11.362752,7.9478273,9.292855,16.568155,9.558847,12.733083,14.764136
311.39566,285.85284,263.4876,242.49573,224.22229,207.55037,191.99791,176.94855,161.5897,147.99483,133.86458,13.313639,12.812013,12.577742,11.639916,12.008858,11.912942,12.5363455,11.939025,14.037596,14.377262,14.492189
675.46936,670.5428,669.22595,660.04767,660.7819,648.3466,647.8599,638.13293,636.3098,630.75183,621.5896,1.0564415,1.565425,2.0272653,0.85548496,1.3559926,1.5417281,1.8136643,0.79988664,1.3482571,1.6583414,0.7479955
543.20886,529.29535,512.635,500.789,484.4591,474.042,458.76877,447.12787,433.2728,419.09747,406.40253,4.256003,3.807542,3.4765112,4.4930263,4.109893,4.2461605,4.845694,5.927259,5.389234,5.532772,7.001612
511.5902,500.68118,487.92813,478.78857,465.77902,456.86377,445.3609,435.3276,424.0716,412.9732,401.1452,3.5555334,3.4772098,3.2850723,3.7363749,3.8593123,4.2605076,4.817254,4.8938255,4.240945,4.4067745,5.7250156
379.59488,361.22604,344.26105,328.48438,312.43906,297.62784,283.01086,268.6351,253.95135,239.26193,225.84627,6.2836056,5.862529,6.288769,6.2331963,6.136462,6.126415,6.5987067,6.6887827,7.854803,8.337034,9.614503
708.2114,657.66437,605.83417,550.753,495.9526,437.65857,384.8812,325.7495,275.02972,221.87305,170.24089,1.2545851,1.6665809,2.961229,3.14503,3.9717374,4.5197287,6.184477,7.468327,6.7730384,10.147139,15.394379
101.83861,80.52429,70.7606,58.265133,55.912193,52.48859,51.132324,47.857857,57.105305,46.710377,44.403137,10.152854,11.8552885,10.688164,13.515181,14.291598,13.095618,12.451362,16.418676,11.048602,11.72096,14.604419
664.76215,652.55457,647.0078,633.7369,630.0485,618.5247,612.5201,603.4049,595.5868,590.74713,582.8768,6.454939,5.9789424,5.8254585,4.5301456,4.734439,4.747473,2.9892592,1.7134588,5.0658727,5.5794096,4.899154
704.0116,691.1181,677.11194,664.58716,650.9943,638.4034,625.7869,612.6695,600.66406,586.51746,572.5426,3.1991348,3.2928774,3.265202,3.805599,3.54433,3.8656492,4.5679317,5.325471,4.3597455,4.8760085,5.456196
579.8361,572.3429,566.31085,557.2122,552.1252,541.24365,536.03033,526.67596,520.7932,512.82043,502.69235,1.737049,2.1973643,2.2927108,1.9220209,2.3109634,2.591322,2.9355588,2.5416768,2.630946,2.6525595,2.9940743
220.1333,206.10155,195.98357,188.05777,180.43347,175.97377,173.06795,167.36983,165.1225,159.53864,154.84856,11.617431,11.286178,11.557523,10.893991,11.52821,10.61745,12.251752,11.644571,11.257077,11.98766,12.093368
698.6631,692.2903,689.51465,679.501,678.4322,665.8812,663.8587,653.4409,650.07996,643.6013,633.7299,1.6124841,2.0576327,2.48464,1.396447,1.8068161,2.0910654,2.2209735,1.35999,1.8056763,2.2220206,1.367342
349.54688,310.4744,271.48657,234.88728,200.63548,164.66603,132.3734,100.79608,69.65634,39.69373,9.196649,10.101405,9.653829,9.508186,10.126967,10.651428,10.983301,10.930672,11.990955,13.026108,14.060814,16.78405
365.48557,327.97983,290.3524,253.32024,218.37129,182.3708,148.872,116.099945,83.63373,53.6418,23.403048,8.850524,8.905531,8.654726,8.176492,8.738119,9.127761,9.768377,9.811227,11.780855,13.069694,15.305195
775.5976,759.4112,741.33105,726.9657,708.3072,695.0596,678.46606,662.92474,647.3117,629.84174,613.3825,4.070745,4.038509,4.06085,5.0085673,4.493668,4.9583325,5.678693,6.955848,5.16491,6.0040216,6.9923244
126.753105,93.81181,72.24429,45.24855,37.128082,13.803038,5.4103727,-10.710818,-2.1317189,-29.800455,-38.064953,3.988857,8.058617,7.1995416,12.247677,11.362752,7.9478273,9.292855,16.568155,9.558847,12.733083,14.764136
